Title,Author,Citation,PMID,Free Access,Abstract,url_article
"
              
                THE EVOLUTION OF WORKER STERILITY IN HONEY BEES: AN INVESTIGATION INTO A BEHAVIORAL MUTANT CAUSING FAILURE OF WORKER POLICING.
              
            ","Montague CE, Oldroyd BP.",<built-in method split of str object at 0x000001C4076624C0>,28565389,No,"
              In this study, microsatellite analysis was used to determine the maternity of drones produced in such a colony under various conditions. One subfamily was found to account for about 90% of drone progeny, with the remainder being laid by other subfamilies or the quee …
            ",https://pubmed.ncbi.nlm.nih.gov/28565389/
"
              
                Chemical Mating Attractants in the Queen Honey Bee.
              
            ",Gary NE.,<built-in method split of str object at 0x000001C406F70C90>,17752107,No,"
Drone attraction to ether extracts of virgin queens (Apis mellifera L.) demonstrated that chemical communication enables the drones to orient themselves to queens during mating flights. ...
            ",https://pubmed.ncbi.nlm.nih.gov/17752107/
"
              
                Field Effectiveness of Drones to Identify Potential Aedes aegypti Breeding Sites in Household Environments from Tapachula, a Dengue-Endemic City in Southern Mexico.
              
            ","Valdez-Delgado KM, Moo-Llanes DA, Danis-Lozano R, Cisneros-Vázquez LA, Flores-Suarez AE, Ponce-García G, Medina-De la Garza CE, Díaz-González EE, Fernández-Salas I.",<built-in method split of str object at 0x000001C4050C31B0>,34442229,Yes,"
              The results were analyzed in order to compare the effectiveness of both field surveillance approaches. Aerial images of 216 houses from El Vergel village in Tapachula, Chiapas, Mexico, at a height of 30 m, were obtained using a drone. Each household was sampled indo …
            ",https://pubmed.ncbi.nlm.nih.gov/34442229/
"
              
                Optimizing a Drone Network to Deliver Automated External Defibrillators.
              
            ","Boutilier JJ, Brooks SC, Janmohamed A, Byers A, Buick JE, Zhan C, Schoellig AP, Cheskes S, Morrison LJ, Chan TCY; Rescu Epistry Investigators.",<built-in method split of str object at 0x000001C4072201A0>,28254836,Yes,"
              A secondary analysis quantified the reduction in drone resources required if RescuNET was treated as a large coordinated region. ...In the most rural region, the 90th percentile was reduced by 10 minutes and 34 seconds. A single coordinated drone network across all …
            ",https://pubmed.ncbi.nlm.nih.gov/28254836/
"
              
                Surface-Integrated Electric Field Sensor for the Detection of High-Voltage Power Lines.
              
            ","Lee G, Kim JY, Kim G, Kim JH.",<built-in method split of str object at 0x000001C405F188F0>,34960419,Yes,"
              When a drone is used for inspection of facilities, there are often cases in which high-voltage power lines interfere, resulting in the drone being caught or falling. To prevent this type of incident, drones must be capable of detecting high-voltage power line …
            ",https://pubmed.ncbi.nlm.nih.gov/34960419/
"
              
                Resource Allocation in Uplink NOMA-IoT Based UAV for URLLC Applications.
              
            ","Karem R, Ahmed M, Newagy F.",<built-in method split of str object at 0x000001C405F18810>,35214464,Yes,"
              One of the main targets of future 5G cellular networks is enlarging the Internet of Things (IoT) devices' connectivity while facing the challenging requirements of the available bandwidth, power and the restricted delay limits. Unmanned aerial vehicles (UAVs) …
            ",https://pubmed.ncbi.nlm.nih.gov/35214464/
"
              
                Testicular Changes of Honey Bee Drones, Apis mellifera (Hymenoptera: Apidae), During Sexual Maturation.
              
            ","Klein CD, Kozii IV, Wood SC, Koziy RV, Zabrodski MW, Dvylyuk I, de Mattos IM, Moshynskyy I, Honaramooz A, Simko E.",<built-in method split of str object at 0x000001C406EEF800>,34723334,Yes,"
              The normal developmental anatomy and histology of the reproductive tract of the honey bee drone, Apis mellifera (Linnaeus, 1758), has been well documented. ...This description of physiologic testicular atrophy should be useful for future studies investigating potential pat …
            ",https://pubmed.ncbi.nlm.nih.gov/34723334/
"
              
                A drone-based networked system and methods for combating coronavirus disease (COVID-19) pandemic.
              
            ","Kumar A, Sharma K, Singh H, Naugriya SG, Gill SS, Buyya R.",<built-in method split of str object at 0x000001C405CB7630>,32895585,Yes,"
              Within eight months (by August 2020), it infected 24.0 million persons worldwide and over 824 thousand have died. Drones or Unmanned Aerial Vehicles (UAVs) are very helpful in handling the COVID-19 pandemic. ...It collects and stores the substantial amount of …
            ",https://pubmed.ncbi.nlm.nih.gov/32895585/
"
              
                Towards an Innovative Sensor in Smart Capsule for Aerial Drones for Blood and Blood Component Delivery.
              
            ","Liu R, Pitruzzello G, Rosa M, Battisti A, Cerri C, Tortora G.",<built-in method split of str object at 0x000001C40635EDE0>,36296017,Yes,"
Aerial drone technology is currently being investigated worldwide for the delivery of blood components. ...This process can last up to 30 min and prevent the time saved using drone delivery. Our study aims to integrating an innovative sensor for the haemolysi …
            ",https://pubmed.ncbi.nlm.nih.gov/36296017/
"
              
                Remote Marker-Based Tracking for UAV Landing Using Visible-Light Camera Sensor.
              
            ","Nguyen PH, Kim KW, Lee YW, Park KR.",<built-in method split of str object at 0x000001C40730CA80>,28867775,Yes,"
Unmanned aerial vehicles (UAVs), which are commonly known as drones, have proved to be useful not only on the battlefields where manned flight is considered too risky or difficult, but also in everyday life purposes such as surveillance, monitoring, rescue,  …
            ",https://pubmed.ncbi.nlm.nih.gov/28867775/
"
              
                Deep Reinforcement Learning for Computation Offloading and Resource Allocation in Unmanned-Aerial-Vehicle Assisted Edge Computing.
              
            ","Li S, Hu X, Du Y.",<built-in method split of str object at 0x000001C4064829A0>,34640820,Yes,"
              Computation offloading technology extends cloud computing to the edge of the access network close to users, bringing many benefits to terminal devices with limited battery and computational resources. Nevertheless, the existing computation offloading approaches are challen …
            ",https://pubmed.ncbi.nlm.nih.gov/34640820/
"
              
                Individual responsiveness to shock and colony-level aggression in honey bees: evidence for a genetic component.
              
            ","Avalos A, Rodríguez-Cruz Y, Giray T.",<built-in method split of str object at 0x000001C405B52120>,25729126,Yes,"
              We examined how honey bee colony aggressiveness relates to individual response of male drones and foraging workers. Although the natural focus in colony aggression has been on the worker caste, the sterile females engaged in colony maintenance and defense, males carry the …
            ",https://pubmed.ncbi.nlm.nih.gov/25729126/
"
              
                UWB Localization with Battery-Powered Wireless Backbone for Drone-Based Inventory Management.
              
            ","Macoir N, Bauwens J, Jooris B, Van Herbruggen B, Rossey J, Hoebekeand J, De Poorter E.",<built-in method split of str object at 0x000001C405CB5FB0>,30678128,Yes,"
              Current inventory-taking methods (counting stocks and checking correct placements) in large vertical warehouses are mostly manual, resulting in (i) large personnel costs, (ii) human errors and (iii) incidents due to working at large heights. To remedy this, the use of autonomous …
            ",https://pubmed.ncbi.nlm.nih.gov/30678128/
"
              
                Data-driven body-machine interface for the accurate control of drones.
              
            ","Miehlbradt J, Cherpillod A, Mintchev S, Coscia M, Artoni F, Floreano D, Micera S.",<built-in method split of str object at 0x000001C4051838A0>,30012599,Yes,"
              The accurate teleoperation of robotic devices requires simple, yet intuitive and reliable control interfaces. ...The identified BoMI allowed participants with no prior experience to rapidly master the control of both simulated and real drones, outperforming joystick …
            ",https://pubmed.ncbi.nlm.nih.gov/30012599/
"
              
                Critical assessment of emissions, costs, and time for last-mile goods delivery by drones versus trucks.
              
            ","Raghunatha A, Lindkvist E, Thollander P, Hansson E, Jonsson G.",<built-in method split of str object at 0x000001C406031430>,37479722,Yes,"
              Electric drones as an autonomous mode of transport are scaling up to transform last-mile goods delivery, raising an urgent need for assessing impacts of drone transport from a systems perspective. ...Results show that large drones have lower emissions than di …
            ",https://pubmed.ncbi.nlm.nih.gov/37479722/
"
              
                The Gas Sensing Drone with the Lowered and Lifted Measurement Platform.
              
            ","Szczurek A, Gonstał D, Maciejewska M.",<built-in method split of str object at 0x000001C4050F3120>,36772293,Yes,"
              A serious factor that limits the environmental applications of drones is the disturbance of the air pollution concentration field by the drone propulsion system. This work presents a gas-sensing drone offering measurements that are unaffected by this phenomen …
            ",https://pubmed.ncbi.nlm.nih.gov/36772293/
"
              
                Effects of instrumental insemination and insemination quantity on Dufour's gland chemical profiles and vitellogenin expression in honey bee queens (Apis mellifera).
              
            ","Richard FJ, Schal C, Tarpy DR, Grozinger CM.",<built-in method split of str object at 0x000001C405C8F3C0>,21786084,No,"
              Honey bee queens (Apis mellifera) mate in their early adult lives with a variable number of males (drones). Mating stimulates dramatic changes in queen behavior, physiology, gene expression, and pheromone production. Here, we used virgin, single drone- (SDI), and mu …
            ",https://pubmed.ncbi.nlm.nih.gov/21786084/
"
              
                Male fitness of honeybee colonies (Apis mellifera L.).
              
            ","Kraus FB, Neumann P, Scharpenberg H, van Praagh J, Moritz RF.",<built-in method split of str object at 0x000001C406032F30>,14635906,Yes,"
              Worker offspring of 19 naturally mated queens was genotyped with DNA microsatellites, to estimate male reproductive success of 16 drone producing colonies. This allowed for estimating the male mating success on both the colony level and the level of individual drones …
            ",https://pubmed.ncbi.nlm.nih.gov/14635906/
"
              
                Artificial-intelligence robot umpires in sailing race.
              
            ",Wu CH.,<built-in method split of str object at 0x000001C405C7AE80>,36438410,Yes,"
              This study has implemented an experiment with real drones and installed IoT equipment on the drones for taking videos and recognizing. ...Additionally, umpires can review the violation details from the videos taken by the drones, supporting evidence for judgi …
            ",https://pubmed.ncbi.nlm.nih.gov/36438410/
"
              
                Locating AED Enabled Medical Drones to Enhance Cardiac Arrest Response Times.
              
            ","Pulver A, Wei R, Mann C.",<built-in method split of str object at 0x000001C406303C30>,26852822,No,"
              ., the time from EMS ""wheels rolling"" until arrival at the OOHCA scene). Unmanned Aerial Vehicles (UAV) have regularly been used for remote sensing and aerial imagery collection, but there are new opportunities to use drones for medical emergencies. .. …
            ",https://pubmed.ncbi.nlm.nih.gov/26852822/
"
              
                Integrating drone imagery with existing rangeland monitoring programs.
              
            ","Gillan JK, Karl JW, van Leeuwen WJD.",<built-in method split of str object at 0x000001C4063017A0>,32253518,No,"
              The recent availability of small and low-cost sensor carrying unmanned aerial systems (UAS, commonly known as drones) coupled with advances in image processing software (i.e., structure from motion photogrammetry) has made drone-collected imagery a pot …
            ",https://pubmed.ncbi.nlm.nih.gov/32253518/
"
              
                Nosema ceranae, Fipronil and their combination compromise honey bee reproduction via changes in male physiology.
              
            ","Kairo G, Biron DG, Ben Abdelkader F, Bonnet M, Tchamitchian S, Cousin M, Dussaubat C, Benoit B, Kretzschmar A, Belzunces LP, Brunet JL.",<built-in method split of str object at 0x000001C4051DF870>,28819220,Yes,"
              In terms of fertility, semen was strongly impacted regardless of stressor, suggesting that drone reproductive functions are very sensitive to stress factors. ...Thus, the queens failures observed in recent years might result from the continuous exposure of drones to …
            ",https://pubmed.ncbi.nlm.nih.gov/28819220/
"
              
                An Efficient Authenticated Key Agreement Scheme Supporting Privacy-Preservation for Internet of Drones Communications.
              
            ","Li CT, Weng CY, Chen CL, Lee CC, Deng YY, Imoize AL.",<built-in method split of str object at 0x000001C406303D20>,36502237,Yes,"
              The mobility, flexibility, reliability and energy efficiency of drones makes them more widely used in IoT environments such as commercial, military, entertainment applications, traffic surveillance and aerial photography. In a generalized IoD architecture, we have c …
            ",https://pubmed.ncbi.nlm.nih.gov/36502237/
"
              
                YOLOv5 Drone Detection Using Multimodal Data Registered by the Vicon System.
              
            ","Lindenheim-Locher W, Świtoński A, Krzeszowski T, Paleta G, Hasiec P, Josiński H, Paszkuta M, Wojciechowski K, Rosner J.",<built-in method split of str object at 0x000001C404ED5780>,37514690,Yes,"
              This work is focused on the preliminary stage of the 3D drone tracking challenge, namely the precise detection of drones on images obtained from a synchronized multi-camera system. ...Besides the classical mean average precision (mAP), a measure more adequate in the …
            ",https://pubmed.ncbi.nlm.nih.gov/37514690/
"
              
                Evaluating the Potential of Brood Recapping to Select Varroa destructor (Acari: Varroidae) Resistant Honey Bees (Hymenoptera: Apidae).
              
            ","Guichard M, von Virag A, Dainat B.",<built-in method split of str object at 0x000001C406302880>,36453974,Yes,"
              Depending on sample, recapping slightly correlated negatively with colony infestation values. Recapping was also measured in drone brood, with values often comparable to recapping in worker brood, but no significant correlations were obtained between castes. At cell level, …
            ",https://pubmed.ncbi.nlm.nih.gov/36453974/
"
              
                Two Supervised Machine Learning Approaches for Wind Velocity Estimation Using Multi-Rotor Copter Attitude Measurements.
              
            ","Crowe D, Pamula R, Cheung HY, De Wekker SFJ.",<built-in method split of str object at 0x000001C4063025B0>,33023130,Yes,"
              In this work we address the adequacy of two machine learning methods to tackle the problem of wind velocity estimation in the lowermost region of the atmosphere using on-board inertial drone data within an outdoor setting. We fed these data, and accompanying wind tower mea …
            ",https://pubmed.ncbi.nlm.nih.gov/33023130/
"
              
                Enhancing Radiation Detection by Drones through Numerical Fluid Dynamics Simulations.
              
            ","Marturano F, Ciparisse JF, Chierici A, d'Errico F, Di Giovanni D, Fumian F, Rossi R, Martellucci L, Gaudio P, Malizia A.",<built-in method split of str object at 0x000001C40732C8F0>,32210063,Yes,"
              This study addresses the optimization of the location of a radioactive-particle sensor on a drone. Based on the analysis of the physical process and of the boundary conditions introduced in the model, computational fluid dynamics simulations were performed to analyze how t …
            ",https://pubmed.ncbi.nlm.nih.gov/32210063/
"
              
                Sensorial countermeasures for vestibular spatial disorientation.
              
            ","Paillard AC, Quarck G, Denise P.",<built-in method split of str object at 0x000001C4063033C0>,24834571,No,"
              This review emphasizes the positive aspects of auditory and somatosensory countermeasures as well as multisensory devices. Even if some aspects such as sensory conflict and motion sickness need to be assessed, these countermeasures should be taken into consideration for er …
            ",https://pubmed.ncbi.nlm.nih.gov/24834571/
"
              
                Trajectories and Resource Management of Flying Base Stations for C-V2X.
              
            ","Mignardi S, Buratti C, Bazzi A, Verdone R.",<built-in method split of str object at 0x000001C40730E100>,30781511,Yes,"
              In a vehicular scenario where the penetration of cars equipped with wireless communication devices is far from 100% and application requirements tend to be challenging for a cellular network not specifically planned for it, the use of unmanned aerial vehicles …
            ",https://pubmed.ncbi.nlm.nih.gov/30781511/
"
              
                An Adaptive Deblurring Vehicle Detection Method for High-Speed Moving Drones: Resistance to Shake.
              
            ","Liu Y, Wang J, Qiu T, Qi W.",<built-in method split of str object at 0x000001C4074BB9F0>,34682082,Yes,"
              Vehicle detection is an essential part of an intelligent traffic system, which is an important research field in drone application. Because unmanned aerial vehicles (UAVs) are rarely configured with stable camera platforms, aerial images are easily blu …
            ",https://pubmed.ncbi.nlm.nih.gov/34682082/
"
              
                Radiological Scouting, Monitoring and Inspection Using Drones.
              
            ","Pinto LR, Vale A, Brouwer Y, Borbinha J, Corisco J, Ventura R, Silva AM, Mourato A, Marques G, Romanets Y, Sargento S, Gonçalves B.",<built-in method split of str object at 0x000001C40520A290>,33946574,Yes,"
              We propose a radiological solution for scouting, monitoring and inspecting an area of interest, using a fleet of drones and a controlling ground station. First, we scout an area with a Light Detection and Ranging sensor onboard a drone to accurately 3D-map the area. …
            ",https://pubmed.ncbi.nlm.nih.gov/33946574/
"
              
                Temporal variation in the genetic structure of a drone congregation area: an insight into the population dynamics of wild African honeybees (Apis mellifera scutellata).
              
            ","Jaffé R, Dietemann V, Crewe RM, Moritz RF.",<built-in method split of str object at 0x000001C40730DD40>,19368651,No,"
              The mating system of the honeybee (Apis mellifera) has been regarded as one of the most panmictic in the animal kingdom, with thousands of males aggregating in drone congregation areas (DCAs) that virgin queens visit to mate with tens of partners. ...By repeatedly sampling …
            ",https://pubmed.ncbi.nlm.nih.gov/19368651/
"
              
                Display in the Wild (DIW): An Adaptive Projection-Imaging System to Screen Geometry in Real Time.
              
            ","Ryu B, Bae SH.",<built-in method split of str object at 0x000001C405F916F0>,30213111,Yes,"
              Therefore, we propose a distortion correction method for DIW to overcome the aforementioned surface constraints. Since projectors are not capture devices, we propose using a depth camera to determine the distortions on the surfaces quickly. ...In our comprehensive experime …
            ",https://pubmed.ncbi.nlm.nih.gov/30213111/
"
Drone delivery of an automated external defibrillator - a mixed method simulation study of bystander experience.
              
            ","Sanfridsson J, Sparrevik J, Hollenberg J, Nordberg P, Djärv T, Ringh M, Svensson L, Forsberg S, Nord A, Andersson-Hagiwara M, Claesson A.",<built-in method split of str object at 0x000001C40522CCB0>,30961651,Yes,"
              As emergency medical services (EMS) response times in Sweden have increased, novel methods are needed to facilitate early treatment. Unmanned aerial vehicles (i.e. drones) have potential to deliver automated external defibrillators (AED). ...Interacting with …
            ",https://pubmed.ncbi.nlm.nih.gov/30961651/
"
              
                Non-Terrestrial Networks for Energy-Efficient Connectivity of Remote IoT Devices in the 6G Era: A Survey.
              
            ","Plastras S, Tsoumatidis D, Skoutas DN, Rouskas A, Kormentzas G, Skianis C.",<built-in method split of str object at 0x000001C406EB4390>,38400391,Yes,"
              The Internet of Things (IoT) is gaining popularity and market share, driven by its ability to connect devices and systems that were previously siloed, enabling new applications and services in a cost-efficient manner. ...Non-Terrestrial Networks (NTNs) are increasingly gai …
            ",https://pubmed.ncbi.nlm.nih.gov/38400391/
"
              
                Inflight Polymerase Chain Reaction of samples with drones.
              
            ","Abid HA, Minifie T, Ong JW, Lin ES, Song Z, Liew OW, Ng TW.",<built-in method split of str object at 0x000001C4064D3630>,33388295,No,"
              A system devised to conduct Polymerase Chain Reaction (PCR) in-flight on drones that uses the spatial displacement of capillary tubes on thermal blocks kept at 94 C, 58 C and 72 C corresponding to cycling temperatures for denaturation, annealing and extension is demonstrat …
            ",https://pubmed.ncbi.nlm.nih.gov/33388295/
"
              
                Relationship of the neutral sterols and ecdysteroids of the parasitic mite, Varroa jacobsoni to those of the honey bee, Apis mellifera.
              
            ","Hartfelder K, Feldlaufer MF.",<built-in method split of str object at 0x000001C4074B8730>,12770416,No,"
              The neutral sterols of the parasitic mite Varroa jacobsoni were compared with Apis mellifera carnica drone pupae. Analysis by GLC-mass spectrometry indicated mite sterols were reflective of the sterol composition of the drones; 24-methylenecholesterol was the major …
            ",https://pubmed.ncbi.nlm.nih.gov/12770416/
"
              
                Robotic construction analysis: simulation with virtual reality.
              
            ","Pereira da Silva N, Eloy S, Resende R.",<built-in method split of str object at 0x000001C4076759B0>,36281420,Yes,"
              This paper presents a methodology for the simulation of robotic construction technologies, namely drones, using a virtual reality environment. Our hypothesis is that a virtual reality simulation of a robotic construction (H1) has the potential of increasing the precision o …
            ",https://pubmed.ncbi.nlm.nih.gov/36281420/
"
              
                Flexible Flaps Inspired by Avian Feathers Can Enhance Aerodynamic Robustness in low Reynolds Number Airfoils.
              
            ","Murayama Y, Nakata T, Liu H.",<built-in method split of str object at 0x000001C405E24360>,34026737,Yes,"
              Unlike rigid rotors of drones, bird wings are composed of flexible feathers that can passively deform while achieving remarkable aerodynamic robustness in response to wind gusts. ...The results point out that the simple attachment of the flexible flaps on the upper surface …
            ",https://pubmed.ncbi.nlm.nih.gov/34026737/
"
              
                Scheduling Diagnostic Testing Kit Deliveries with the Mothership and Drone Routing Problem.
              
            ","Park HJ, Mirjalili R, Côté MJ, Lim GJ.",<built-in method split of str object at 0x000001C406EB7870>,35693535,Yes,"
              This paper proposes a diagnostic testing kit delivery scheduling approach using the Mothership and Drone Routing Problem (MDRP) with one truck and multiple drones. Due to the complexity of solving the MDRP, the problem is decomposed into 1) truck scheduling to carry …
            ",https://pubmed.ncbi.nlm.nih.gov/35693535/
"
              
                Electroantennography-based Bio-hybrid Odor-detecting Drone using Silkmoth Antennae for Odor Source Localization.
              
            ","Terutsuki D, Uchida T, Fukui C, Sukekawa Y, Okamoto Y, Kanzaki R.",<built-in method split of str object at 0x000001C405F19610>,34515671,No,"
              Small drones with chemical or biosensor devices that can detect airborne odorant molecules have attracted considerable attention owing to their applicability in environmental and security monitoring and search-and-rescue operations. Small drones with commerci …
            ",https://pubmed.ncbi.nlm.nih.gov/34515671/
"
              
                Successful Implementation of Unmanned Aircraft Use for Delivery of a Human Organ for Transplantation.
              
            ","Scalea JR, Pucciarella T, Talaie T, Restaino S, Drachenberg CB, Alexander C, Qaoud TA, Barth RN, Wereley NM, Scassero M.",<built-in method split of str object at 0x000001C406EEFCC0>,31663974,No,"
Unmanned aircraft systems (UAS; ie, drones) have the potential to reduce system inefficiencies and improve access to transplantation. ...CONCLUSIONS: Here, we completed the first successful delivery of a human organ using unmanned aircraft. This study brought …
            ",https://pubmed.ncbi.nlm.nih.gov/31663974/
"
              
                On the Use of the AIRA-UAS Corpus to Evaluate Audio Processing Algorithms in Unmanned Aerial Systems.
              
            ","Rascon C, Ruiz-Espitia O, Martinez-Carranza J.",<built-in method split of str object at 0x000001C4063032D0>,31510051,Yes,"
              Audio analysis over an Unmanned Aerial Systems (UAS) is of interest it is an essential step for on-board sound source localization and separation. This could be useful for search & rescue operations, as well as for detection of unauthorized drone operatio …
            ",https://pubmed.ncbi.nlm.nih.gov/31510051/
"
              
                Spatial and size distribution of macro-litter on coastal dunes from drone images: A case study on the Atlantic coast.
              
            ","Andriolo U, Gonçalves G, Sobral P, Bessa F.",<built-in method split of str object at 0x000001C405E24470>,34022556,No,"
              This work analyses the cross-shore (80 m) and long-shore (200 m) spatial and size distribution of macro-litter on coastal dunes, employing a mapping framework based on an Unmanned Aerial System (UAS, aka drone) and a GIS mobile application. ...
            ",https://pubmed.ncbi.nlm.nih.gov/34022556/
"
              
                Factors Influencing the Reproductive Ability of Male Bees: Current Knowledge and Further Directions.
              
            ","Zhao H, Mashilingi SK, Liu Y, An J.",<built-in method split of str object at 0x000001C405F18490>,34200253,Yes,"
              The quality of their colonies is determined by the queens and the reproductive drones of mother colonies, and mated drones transmit semen, including half of the genetic materials, to queens and enhance their fertility. Therefore, factors affecting drone fecun …
            ",https://pubmed.ncbi.nlm.nih.gov/34200253/
"
              
                Honey bees are larger and live longer after developing at low temperature.
              
            ","Szentgyörgyi H, Czekońska K, Tofilski A.",<built-in method split of str object at 0x000001C4067DC3D0>,30509639,No,"
              Next, we measured their body mass at emergence and the longevity of individuals either caged in incubator (workers) or placed in maintaining colonies (drones). For drones, the reproductive caste, we also compared the mass and ratio of body parts (head, thorax, and a …
            ",https://pubmed.ncbi.nlm.nih.gov/30509639/
"
              
                Development of the Aerial Remote Triage System using drones in mass casualty scenarios: A survey of international experts.
              
            ","Álvarez-García C, Cámara-Anguita S, López-Hens JM, Granero-Moya N, López-Franco MD, María-Comino-Sanz I, Sanz-Martos S, Pancorbo-Hidalgo PL.",<built-in method split of str object at 0x000001C4050C3DB0>,33974634,Yes,"
              The use of drones for triage in mass-casualty incidents has recently emerged as a promising technology. ...It includes the possibility to indicate save-living interventions to injured people and bystanders, like the compression of bleeding injuries or the adoption of the r …
            ",https://pubmed.ncbi.nlm.nih.gov/33974634/
"
              
                Modeling quarantine during epidemics and mass-testing using drones.
              
            ","Sedov L, Krasnochub A, Polishchuk V.",<built-in method split of str object at 0x000001C4064D2930>,32579590,Yes,"
              We solve (numerically) the differential equations that govern the extended model and quantify how quarantining ""flattens the curve"" for the proportion of infected population over time. Furthermore, we explore the potential of using drones to deliver tests, enabling mass-te …
            ",https://pubmed.ncbi.nlm.nih.gov/32579590/
"
Drones for litter monitoring on coasts and rivers: suitable flight altitude and image resolution.
              
            ","Andriolo U, Topouzelis K, van Emmerik THM, Papakonstantinou A, Monteiro JG, Isobe A, Hidaka M, Kako S, Kataoka T, Gonçalves G.",<built-in method split of str object at 0x000001C407220030>,37714078,Yes,"
              Multirotor drones can be efficiently used to monitor macro-litter in coastal and riverine environments. Litter on beaches, dunes and riverbanks, along with floating litter on coastal and river waters, can be spotted and mapped from aerial drone images. Items …
            ",https://pubmed.ncbi.nlm.nih.gov/37714078/
"
              
                Visual image design of the internet of things based on AI intelligence.
              
            ",Tian T.,<built-in method split of str object at 0x000001C406498E00>,38125525,Yes,"
              Visual object detection has emerged as a critical technology for Unmanned Arial Vehicle (UAV) use due to advances in computer vision. ...One of the essential components of UAV-based applications is the ability to recognize objects of interest in aerial photographs t …
            ",https://pubmed.ncbi.nlm.nih.gov/38125525/
"
Aerial Bots in the Supply Chain: A New Ally to Combat COVID-19.
              
            ","Koshta N, Devi Y, Patra S.",<built-in method split of str object at 0x000001C40730D980>,34177005,Yes,"
              The rapid global spread of COVID-19 has caused disruptions in various supply chains and people's lives. At the same time, it has paved the way for drone technology (Aerial bots). With the countries gone into lockdown for an unspecified time, it is self-evident that …
            ",https://pubmed.ncbi.nlm.nih.gov/34177005/
"
              
                Using an unmanned aerial vehicle water sampler to gather data in a pit-lake mining environment to assess closure and monitoring.
              
            ","Straight BJ, Castendyk DN, McKnight DM, Newman CP, Filiatreault P, Pino A.",<built-in method split of str object at 0x000001C405E24250>,34387759,No,"
              This study developed new technology in which water-sampling devices, mounted on an unmanned aerial vehicle (UAV), were used to sample three pit lakes in Nevada, USA, during 1 week in 2017. ...
            ",https://pubmed.ncbi.nlm.nih.gov/34387759/
"
              
                Supervised Classification of Operator Functional State Based on Physiological Data: Application to Drones Swarm Piloting.
              
            ","Kostenko A, Rauffet P, Coppin G.",<built-in method split of str object at 0x000001C4064D2B30>,35069348,Yes,"
              To improve the safety and the performance of operators involved in risky and demanding missions (like drone operators), human-machine cooperation should be dynamically adapted, in terms of dialogue or function allocation. ...The article explores the concept of Operator Fun …
            ",https://pubmed.ncbi.nlm.nih.gov/35069348/
"
              
                A pilot study to estimate the population size of endangered Galapagos marine iguanas using drones.
              
            ","Varela-Jaramillo A, Rivas-Torres G, Guayasamin JM, Steinfartz S, MacLeod A.",<built-in method split of str object at 0x000001C406A9B000>,36703215,Yes,"
              In terms of field-time, drone-surveys can be faster than simple counts, but image analyses were highly time consuming. ...Moreover, the aerial approach is currently the only credible solution for accessing and surveying marine iguanas at highly remote colonies. ...
            ",https://pubmed.ncbi.nlm.nih.gov/36703215/
"
              
                Localization of deformed wing virus infection in queen and drone Apis mellifera L.
              
            ","Fievet J, Tentcheva D, Gauthier L, de Miranda J, Cousserans F, Colin ME, Bergoin M.",<built-in method split of str object at 0x000001C4064D1830>,16569216,Yes,"
              The distribution of deformed wing virus infection within the honey bee reproductive castes (queens, drones) was investigated by in situ hybridization and immunohistology from paraffin embedded sections. ...Results showed that DWV infection is not restricted to the digestiv …
            ",https://pubmed.ncbi.nlm.nih.gov/16569216/
"
              
                Wing Geometric Morphometrics of Workers and Drones and Single Nucleotide Polymorphisms Provide Similar Genetic Structure in the Iberian Honey Bee (Apis mellifera iberiensis).
              
            ","Henriques D, Chávez-Galarza J, Teixeira JSG, Ferreira H, Neves CJ, Francoy TM, Pinto MA.",<built-in method split of str object at 0x000001C406EEF470>,32019106,Yes,"
              Due to bias in the production of sterile females (workers) in a colony, most studies have used workers leaving the males (drones) as a neglected group. However, considering their importance as reproductive individuals, the use of drones should be incorporated in the …
            ",https://pubmed.ncbi.nlm.nih.gov/32019106/
"
              
                DeepPilot: A CNN for Autonomous Drone Racing.
              
            ","Rojas-Perez LO, Martinez-Carranza J.",<built-in method split of str object at 0x000001C40730C4E0>,32823503,Yes,"
              Autonomous Drone Racing (ADR) was first proposed in IROS 2016. It called for the development of an autonomous drone capable of beating a human in a drone race. ...Values for these 4 flight commands, predicted by DeepPilot, are passed to the drone's inn …
            ",https://pubmed.ncbi.nlm.nih.gov/32823503/
"
Unmanned Aerial Vehicle Assisted Post-Disaster Communication Coverage Optimization Based on Internet of Things Big Data Analysis.
              
            ","Yang B, Xiong X, Liu H, Jia Y, Gao Y, Tolba A, Zhang X.",<built-in method split of str object at 0x000001C4064D1C30>,37571578,Yes,"
              The rapid development of Internet of Things (IoT) communication devices has brought about significant convenience. However, simultaneously, the destruction of communication infrastructure in emergency situations often leads to communication disruptions and challenges in in …
            ",https://pubmed.ncbi.nlm.nih.gov/37571578/
"
              
                How Drone Strikes and a Fake Vaccination Program Have Inhibited Polio Eradication in Pakistan: An Analysis of National Level Data.
              
            ",Kennedy J.,<built-in method split of str object at 0x000001C4076601D0>,28764582,No,"
              Between 2004 and 2012, the number of polio cases in Pakistan closely mirrored the number of drone strikes. But from 2013 onward, polio cases increased while drone strikes fell. ...However, this paper demonstrates that drone strikes had negative effects on the …
            ",https://pubmed.ncbi.nlm.nih.gov/28764582/
